Framework,crypto_assets,crypto_agility,migration_planning,risk_management,standards_compliance
001.txt,2.0,1.0,6.0,1.0,22.0
002.txt,37.0,45.0,20.0,20.0,72.0
003.txt,0.0,0.0,0.0,0.0,2.0
004.txt,2.0,3.0,16.0,16.0,26.0
005.txt,2.0,0.0,2.0,0.0,2.0
006.txt,4.0,30.0,4.0,1.0,35.0
007.txt,5.0,13.0,9.0,19.0,18.0
008.txt,38.0,24.0,49.0,49.0,119.0
009.txt,40.0,5.0,2.0,3.0,16.0
010.txt,5.0,19.0,2.0,17.0,46.0
011.txt,2.0,1.0,14.0,15.0,10.0
012.txt,2.0,1.0,6.0,0.0,13.0
013.txt,0.0,2.0,4.0,1.0,2.0
014.txt,5.0,101.0,20.0,36.0,35.0
015.txt,27.0,111.0,40.0,59.0,33.0
016.txt,0.0,7.0,0.0,0.0,2.0
017.txt,39.0,47.0,33.0,46.0,64.0
018.txt,0.0,0.0,2.0,0.0,0.0
019.txt,17.0,5.0,14.0,23.0,10.0
020.txt,10.0,9.0,39.0,10.0,59.0
021.txt,0.0,1.0,37.0,22.0,4.0
022.txt,1.0,5.0,90.0,76.0,20.0
023.txt,20.0,13.0,14.0,16.0,40.0
024.txt,0.0,47.0,33.0,19.0,4.0
025.txt,0.0,22.0,46.0,84.0,22.0
026.txt,62.0,128.0,17.0,29.0,148.0
027.txt,2.0,1.0,14.0,15.0,10.0
028.txt,42.0,36.0,11.0,11.0,56.0
029.txt,31.0,135.0,34.0,11.0,3.0
